Latitude,Longitude,count,max,min,ptp
41.952,-87.788,3,2013-08-15,2013-08-15,0
41.952,-87.789,6,2013-08-15,2013-08-15,0
41.952,-87.79,1,2013-08-15,2013-08-15,0
41.952,-87.791,3,2013-08-15,2013-08-15,0
41.952,-87.792,1,2013-08-15,2013-08-15,0
41.952,-87.793,1,2013-08-15,2013-08-15,0
41.952,-87.794,5,2013-08-15,2013-08-15,0
41.952,-87.795,1,2013-08-15,2013-08-15,0
41.952,-87.796,3,2013-08-15,2013-08-15,0
41.952,-87.798,4,2013-08-15,2013-08-15,0
41.952,-87.799,6,2013-08-15,2013-08-15,0
41.952,-87.8,3,2013-08-15,2013-08-15,0
41.952,-87.801,3,2013-08-15,2013-08-15,0
41.952,-87.804,2,2013-08-15,2013-08-15,0
41.952,-87.805,2,2013-08-15,2013-08-15,0
41.952,-87.779,2,2013-08-15,2013-08-15,0
41.954,-87.782,6,2013-08-16,2013-08-16,0
41.951,-87.735,2,2013-07-25,2013-07-25,0
41.956,-87.721,2,2013-07-25,2013-07-25,0
41.956,-87.71,8,2013-07-25,2013-07-25,0
41.956,-87.711,2,2013-07-25,2013-07-25,0
41.956,-87.712,2,2013-07-25,2013-07-25,0
41.956,-87.713,1,2013-07-25,2013-07-25,0
41.956,-87.714,3,2013-07-25,2013-07-25,0
41.956,-87.715,2,2013-07-25,2013-07-25,0
41.956,-87.717,1,2013-07-25,2013-07-25,0
41.956,-87.718,3,2013-07-25,2013-07-25,0
41.956,-87.719,1,2013-07-25,2013-07-25,0
41.956,-87.72,5,2013-07-25,2013-07-25,0
41.956,-87.722,1,2013-07-25,2013-07-25,0
41.956,-87.778,1,2013-08-16,2013-08-16,0
41.956,-87.723,4,2013-07-25,2013-07-25,0
41.956,-87.724,4,2013-07-25,2013-07-25,0
41.956,-87.725,4,2013-07-25,2013-07-25,0
41.956,-87.726,4,2013-07-25,2013-07-25,0
41.956,-87.727,1,2013-07-25,2013-07-25,0
41.956,-87.728,2,2013-07-25,2013-07-25,0
41.956,-87.729,3,2013-07-25,2013-07-25,0
41.956,-87.73,1,2013-07-25,2013-07-25,0
41.956,-87.731,3,2013-07-25,2013-07-25,0
41.956,-87.732,1,2013-07-25,2013-07-25,0
41.956,-87.709,2,2013-07-25,2013-07-25,0
41.956,-87.708,1,2013-07-25,2013-07-25,0
41.957,-87.785,3,2013-08-16,2013-08-16,0
41.957,-87.783,2,2013-08-16,2013-08-16,0
41.957,-87.715,2,2013-07-25,2013-07-25,0
41.957,-87.717,3,2013-07-25,2013-07-25,0
41.957,-87.718,2,2013-07-25,2013-07-25,0
41.957,-87.719,3,2013-07-25,2013-07-25,0
41.957,-87.72,4,2013-07-25,2013-07-25,0
41.957,-87.721,1,2013-07-25,2013-07-25,0
41.957,-87.722,4,2013-07-25,2013-07-25,0
41.957,-87.723,4,2013-07-25,2013-07-25,0
41.957,-87.724,3,2013-07-25,2013-07-25,0
41.957,-87.725,6,2013-07-25,2013-07-25,0
41.957,-87.726,4,2013-07-25,2013-07-25,0
41.957,-87.727,2,2013-07-25,2013-07-25,0
41.957,-87.728,1,2013-07-25,2013-07-25,0
41.957,-87.729,2,2013-07-25,2013-07-25,0
41.957,-87.73,2,2013-07-25,2013-07-25,0
41.957,-87.731,3,2013-07-25,2013-07-25,0
41.957,-87.732,5,2013-07-25,2013-07-25,0
41.957,-87.778,2,2013-08-16,2013-08-16,0
41.957,-87.779,2,2013-08-16,2013-08-16,0
41.957,-87.781,2,2013-08-16,2013-08-16,0
41.957,-87.782,4,2013-08-16,2013-08-16,0
41.956,-87.738,2,2013-07-25,2013-07-25,0
41.956,-87.779,2,2013-08-16,2013-08-16,0
41.954,-87.78,1,2013-08-16,2013-08-16,0
41.954,-87.716,1,2013-07-25,2013-07-25,0
41.955,-87.782,7,2013-08-16,2013-08-16,0
41.955,-87.783,3,2013-08-16,2013-08-16,0
41.955,-87.784,2,2013-08-15,2013-08-15,0
41.954,-87.709,2,2013-07-25,2013-07-25,0
41.954,-87.71,2,2013-07-25,2013-07-25,0
41.954,-87.711,3,2013-07-25,2013-07-25,0
41.954,-87.712,1,2013-07-25,2013-07-25,0
41.954,-87.713,1,2013-07-25,2013-07-25,0
41.954,-87.714,1,2013-07-25,2013-07-25,0
41.954,-87.715,1,2013-07-25,2013-07-25,0
41.954,-87.717,4,2013-07-25,2013-07-25,0
41.956,-87.781,1,2013-08-16,2013-08-16,0
41.954,-87.718,1,2013-07-25,2013-07-25,0
41.954,-87.722,3,2013-07-25,2013-07-25,0
41.954,-87.723,3,2013-07-25,2013-07-25,0
41.954,-87.725,1,2013-07-25,2013-07-25,0
41.954,-87.726,1,2013-07-25,2013-07-25,0
41.954,-87.729,2,2013-07-25,2013-07-25,0
41.954,-87.737,1,2013-07-25,2013-07-25,0
41.954,-87.738,1,2013-07-25,2013-07-25,0
41.954,-87.778,1,2013-08-16,2013-08-16,0
41.954,-87.779,2,2013-08-16,2013-08-16,0
41.955,-87.781,2,2013-08-16,2013-08-16,0
41.955,-87.779,1,2013-08-16,2013-08-16,0
41.955,-87.778,2,2013-08-16,2013-08-16,0
41.955,-87.738,2,2013-07-25,2013-07-25,0
41.956,-87.782,4,2013-08-16,2013-08-16,0
41.956,-87.784,2,2013-08-15,2013-08-15,0
41.955,-87.709,3,2013-07-25,2013-07-25,0
41.955,-87.71,2,2013-07-25,2013-07-25,0
41.955,-87.711,4,2013-07-25,2013-07-25,0
41.955,-87.712,4,2013-07-25,2013-07-25,0
41.955,-87.713,2,2013-07-25,2013-07-25,0
41.955,-87.714,4,2013-07-25,2013-07-25,0
41.955,-87.715,3,2013-07-25,2013-07-25,0
41.955,-87.716,2,2013-07-25,2013-07-25,0
41.955,-87.717,6,2013-07-25,2013-07-25,0
41.955,-87.718,2,2013-07-25,2013-07-25,0
41.955,-87.722,1,2013-07-25,2013-07-25,0
41.955,-87.723,2,2013-07-25,2013-07-25,0
41.955,-87.724,2,2013-07-25,2013-07-25,0
41.955,-87.725,2,2013-07-25,2013-07-25,0
41.955,-87.726,2,2013-07-25,2013-07-25,0
41.955,-87.729,2,2013-07-25,2013-07-25,0
41.955,-87.731,5,2013-07-25,2013-07-25,0
41.955,-87.732,3,2013-07-25,2013-07-25,0
41.955,-87.737,3,2013-07-25,2013-07-25,0
41.951,-87.734,2,2013-07-25,2013-07-25,0
41.951,-87.738,2,2013-07-25,2013-07-25,0
41.951,-87.737,2,2013-07-25,2013-07-25,0
41.948,-87.711,1,2013-07-25,2013-07-25,0
41.949,-87.808,2,2013-08-15,2013-08-15,0
41.949,-87.81,2,2013-08-15,2013-08-15,0
41.949,-87.811,2,2013-08-15,2013-08-15,0
41.949,-87.812,1,2013-08-15,2013-08-15,0
41.949,-87.813,2,2013-08-15,2013-08-15,0
41.949,-87.815,2,2013-08-15,2013-08-15,0
41.949,-87.816,3,2013-08-15,2013-08-15,0
41.949,-87.817,2,2013-08-15,2013-08-15,0
41.949,-87.818,2,2013-08-15,2013-08-15,0
41.948,-87.709,3,2013-07-25,2013-07-25,0
41.948,-87.712,4,2013-07-25,2013-07-25,0
41.948,-87.731,3,2013-07-25,2013-07-25,0
41.948,-87.714,5,2013-07-25,2013-07-25,0
41.948,-87.715,3,2013-07-25,2013-07-25,0
41.948,-87.716,2,2013-07-25,2013-07-25,0
41.948,-87.717,7,2013-07-25,2013-07-25,0
41.948,-87.723,2,2013-07-25,2013-07-25,0
41.948,-87.724,6,2013-07-25,2013-07-25,0
41.948,-87.725,3,2013-07-25,2013-07-25,0
41.948,-87.726,1,2013-07-25,2013-07-25,0
41.948,-87.728,1,2013-07-25,2013-07-25,0
41.948,-87.729,2,2013-07-25,2013-07-25,0
41.949,-87.806,2,2013-08-15,2013-08-15,0
41.949,-87.805,4,2013-08-15,2013-08-15,0
41.949,-87.804,1,2013-08-15,2013-08-15,0
41.949,-87.803,3,2013-08-15,2013-08-15,0
41.949,-87.732,2,2013-07-25,2013-07-25,0
41.949,-87.734,1,2013-07-25,2013-07-25,0
41.949,-87.735,1,2013-07-25,2013-07-25,0
41.949,-87.737,2,2013-07-25,2013-07-25,0
41.949,-87.738,3,2013-07-25,2013-07-25,0
41.949,-87.777,2,2013-08-15,2013-08-15,0
41.949,-87.778,2,2013-08-15,2013-08-15,0
41.949,-87.779,3,2013-08-15,2013-08-15,0
41.949,-87.78,1,2013-08-15,2013-08-15,0
41.949,-87.781,2,2013-08-15,2013-08-15,0
41.949,-87.782,1,2013-08-15,2013-08-15,0
41.949,-87.783,2,2013-08-15,2013-08-15,0
41.949,-87.784,1,2013-08-15,2013-08-15,0
41.949,-87.785,2,2013-08-15,2013-08-15,0
41.949,-87.786,2,2013-08-15,2013-08-15,0
41.949,-87.795,4,2013-08-15,2013-08-15,0
41.949,-87.797,2,2013-08-15,2013-08-15,0
41.949,-87.799,4,2013-08-15,2013-08-15,0
41.949,-87.8,3,2013-08-15,2013-08-15,0
41.949,-87.801,4,2013-08-15,2013-08-15,0
41.949,-87.802,1,2013-08-15,2013-08-15,0
41.948,-87.73,1,2013-07-25,2013-07-25,0
41.948,-87.732,1,2013-07-25,2013-07-25,0
41.957,-87.713,4,2013-07-25,2013-07-25,0
41.947,-87.704,1,2013-08-08,2013-08-08,0
41.948,-87.816,1,2013-08-15,2013-08-15,0
41.948,-87.817,2,2013-08-15,2013-08-15,0
41.948,-87.818,3,2013-08-15,2013-08-15,0
41.947,-87.681,1,2013-08-08,2013-08-08,0
41.947,-87.682,1,2013-08-08,2013-08-08,0
41.947,-87.683,1,2013-08-08,2013-08-08,0
41.947,-87.685,1,2013-08-08,2013-08-08,0
41.947,-87.686,1,2013-08-08,2013-08-08,0
41.947,-87.687,1,2013-08-08,2013-08-08,0
41.947,-87.694,1,2013-08-08,2013-08-08,0
41.947,-87.709,1,2013-07-25,2013-07-25,0
41.948,-87.734,2,2013-07-25,2013-07-25,0
41.947,-87.712,2,2013-07-25,2013-07-25,0
41.947,-87.714,2,2013-07-25,2013-07-25,0
41.947,-87.716,2,2013-07-25,2013-07-25,0
41.947,-87.717,2,2013-07-25,2013-07-25,0
41.947,-87.718,1,2013-07-25,2013-07-25,0
41.947,-87.72,1,2013-07-25,2013-07-25,0
41.947,-87.721,1,2013-07-25,2013-07-25,0
41.947,-87.723,1,2013-07-25,2013-07-25,0
41.947,-87.724,6,2013-07-25,2013-07-25,0
41.947,-87.725,1,2013-07-25,2013-07-25,0
41.948,-87.815,2,2013-08-15,2013-08-15,0
41.948,-87.813,2,2013-08-15,2013-08-15,0
41.948,-87.812,2,2013-08-15,2013-08-15,0
41.948,-87.811,3,2013-08-15,2013-08-15,0
41.948,-87.735,2,2013-07-25,2013-07-25,0
41.948,-87.737,2,2013-07-25,2013-07-25,0
41.948,-87.777,1,2013-08-15,2013-08-15,0
41.948,-87.778,1,2013-08-15,2013-08-15,0
41.948,-87.779,3,2013-08-15,2013-08-15,0
41.948,-87.78,2,2013-08-15,2013-08-15,0
41.948,-87.781,3,2013-08-15,2013-08-15,0
41.948,-87.782,3,2013-08-15,2013-08-15,0
41.948,-87.783,3,2013-08-15,2013-08-15,0
41.948,-87.784,2,2013-08-15,2013-08-15,0
41.948,-87.785,3,2013-08-15,2013-08-15,0
41.948,-87.786,2,2013-08-15,2013-08-15,0
41.948,-87.797,3,2013-08-15,2013-08-15,0
41.948,-87.799,2,2013-08-15,2013-08-15,0
41.948,-87.8,3,2013-08-15,2013-08-15,0
41.948,-87.801,3,2013-08-15,2013-08-15,0
41.948,-87.803,3,2013-08-15,2013-08-15,0
41.948,-87.805,4,2013-08-15,2013-08-15,0
41.948,-87.806,2,2013-08-15,2013-08-15,0
41.948,-87.808,3,2013-08-15,2013-08-15,0
41.948,-87.81,1,2013-08-15,2013-08-15,0
41.949,-87.731,2,2013-07-25,2013-07-25,0
41.949,-87.73,1,2013-07-25,2013-07-25,0
41.949,-87.729,2,2013-07-25,2013-07-25,0
41.95,-87.711,2,2013-07-25,2013-07-25,0
41.951,-87.812,2,2013-08-15,2013-08-15,0
41.951,-87.813,1,2013-08-15,2013-08-15,0
41.951,-87.814,2,2013-08-15,2013-08-15,0
41.951,-87.815,2,2013-08-15,2013-08-15,0
41.951,-87.816,2,2013-08-15,2013-08-15,0
41.951,-87.817,2,2013-08-15,2013-08-15,0
41.951,-87.818,2,2013-08-15,2013-08-15,0
41.95,-87.708,1,2013-07-25,2013-07-25,0
41.95,-87.709,5,2013-07-25,2013-07-25,0
41.95,-87.71,4,2013-07-25,2013-07-25,0
41.95,-87.712,3,2013-07-25,2013-07-25,0
41.949,-87.728,1,2013-07-25,2013-07-25,0
41.95,-87.714,2,2013-07-25,2013-07-25,0
41.95,-87.715,5,2013-07-25,2013-07-25,0
41.95,-87.716,2,2013-07-25,2013-07-25,0
41.95,-87.717,5,2013-07-25,2013-07-25,0
41.95,-87.72,2,2013-07-25,2013-07-25,0
41.95,-87.721,4,2013-07-25,2013-07-25,0
41.95,-87.722,1,2013-07-25,2013-07-25,0
41.95,-87.723,1,2013-07-25,2013-07-25,0
41.95,-87.726,2,2013-07-25,2013-07-25,0
41.95,-87.729,2,2013-07-25,2013-07-25,0
41.951,-87.811,2,2013-08-15,2013-08-15,0
41.951,-87.81,1,2013-08-15,2013-08-15,0
41.951,-87.809,1,2013-08-15,2013-08-15,0
41.951,-87.808,1,2013-08-15,2013-08-15,0
41.951,-87.777,1,2013-08-15,2013-08-15,0
41.951,-87.778,1,2013-08-15,2013-08-15,0
41.951,-87.779,2,2013-08-15,2013-08-15,0
41.951,-87.78,1,2013-08-15,2013-08-15,0
41.951,-87.781,2,2013-08-15,2013-08-15,0
41.951,-87.782,1,2013-08-15,2013-08-15,0
41.951,-87.783,1,2013-08-15,2013-08-15,0
41.951,-87.784,2,2013-08-15,2013-08-15,0
41.951,-87.785,1,2013-08-15,2013-08-15,0
41.951,-87.786,3,2013-08-15,2013-08-15,0
41.951,-87.789,2,2013-08-15,2013-08-15,0
41.951,-87.794,2,2013-08-15,2013-08-15,0
41.951,-87.796,1,2013-08-15,2013-08-15,0
41.951,-87.797,1,2013-08-15,2013-08-15,0
41.951,-87.798,1,2013-08-15,2013-08-15,0
41.951,-87.799,4,2013-08-15,2013-08-15,0
41.951,-87.8,2,2013-08-15,2013-08-15,0
41.951,-87.801,2,2013-08-15,2013-08-15,0
41.951,-87.804,2,2013-08-15,2013-08-15,0
41.951,-87.805,2,2013-08-15,2013-08-15,0
41.951,-87.806,2,2013-08-15,2013-08-15,0
41.95,-87.73,1,2013-07-25,2013-07-25,0
41.95,-87.731,5,2013-07-25,2013-07-25,0
41.95,-87.732,2,2013-07-25,2013-07-25,0
41.95,-87.808,2,2013-08-15,2013-08-15,0
41.95,-87.811,2,2013-08-15,2013-08-15,0
41.95,-87.812,2,2013-08-15,2013-08-15,0
41.95,-87.813,2,2013-08-15,2013-08-15,0
41.95,-87.815,2,2013-08-15,2013-08-15,0
41.95,-87.816,3,2013-08-15,2013-08-15,0
41.95,-87.817,2,2013-08-15,2013-08-15,0
41.95,-87.818,2,2013-08-15,2013-08-15,0
41.949,-87.708,1,2013-07-25,2013-07-25,0
41.949,-87.709,4,2013-07-25,2013-07-25,0
41.949,-87.71,4,2013-07-25,2013-07-25,0
41.949,-87.712,2,2013-07-25,2013-07-25,0
41.949,-87.713,1,2013-07-25,2013-07-25,0
41.949,-87.714,1,2013-07-25,2013-07-25,0
41.949,-87.715,2,2013-07-25,2013-07-25,0
41.949,-87.717,6,2013-07-25,2013-07-25,0
41.949,-87.72,1,2013-07-25,2013-07-25,0
41.949,-87.721,2,2013-07-25,2013-07-25,0
41.949,-87.724,2,2013-07-25,2013-07-25,0
41.949,-87.725,4,2013-07-25,2013-07-25,0
41.949,-87.726,2,2013-07-25,2013-07-25,0
41.949,-87.727,1,2013-07-25,2013-07-25,0
41.95,-87.81,2,2013-08-15,2013-08-15,0
41.95,-87.806,2,2013-08-15,2013-08-15,0
41.95,-87.734,2,2013-07-25,2013-07-25,0
41.95,-87.805,2,2013-08-15,2013-08-15,0
41.95,-87.735,2,2013-07-25,2013-07-25,0
41.95,-87.737,1,2013-07-25,2013-07-25,0
41.95,-87.738,1,2013-07-25,2013-07-25,0
41.95,-87.777,1,2013-08-15,2013-08-15,0
41.95,-87.778,2,2013-08-15,2013-08-15,0
41.95,-87.779,1,2013-08-15,2013-08-15,0
41.95,-87.78,2,2013-08-15,2013-08-15,0
41.95,-87.781,1,2013-08-15,2013-08-15,0
41.95,-87.782,2,2013-08-15,2013-08-15,0
41.95,-87.783,1,2013-08-15,2013-08-15,0
41.95,-87.784,1,2013-08-15,2013-08-15,0
41.95,-87.785,2,2013-08-15,2013-08-15,0
41.95,-87.786,1,2013-08-15,2013-08-15,0
41.95,-87.794,1,2013-08-15,2013-08-15,0
41.95,-87.795,3,2013-08-15,2013-08-15,0
41.95,-87.796,3,2013-08-15,2013-08-15,0
41.95,-87.797,2,2013-08-15,2013-08-15,0
41.95,-87.799,5,2013-08-15,2013-08-15,0
41.95,-87.8,2,2013-08-15,2013-08-15,0
41.95,-87.801,2,2013-08-15,2013-08-15,0
41.95,-87.804,2,2013-08-15,2013-08-15,0
41.957,-87.714,3,2013-07-25,2013-07-25,0
41.957,-87.712,6,2013-07-25,2013-07-25,0
41.947,-87.728,1,2013-07-25,2013-07-25,0
41.966,-87.727,4,2013-07-25,2013-07-25,0
41.966,-87.716,2,2013-07-25,2013-07-25,0
41.966,-87.717,2,2013-07-25,2013-07-25,0
41.966,-87.718,2,2013-07-25,2013-07-25,0
41.966,-87.72,1,2013-07-25,2013-07-25,0
41.966,-87.721,6,2013-07-25,2013-07-25,0
41.966,-87.722,1,2013-07-25,2013-07-25,0
41.966,-87.723,3,2013-07-25,2013-07-25,0
41.966,-87.724,4,2013-07-25,2013-07-25,0
41.966,-87.725,1,2013-07-25,2013-07-25,0
41.966,-87.726,3,2013-07-25,2013-07-25,0
41.966,-87.728,2,2013-07-25,2013-07-25,0
41.966,-87.782,3,2013-08-15,2013-08-15,0
41.966,-87.729,2,2013-07-25,2013-07-25,0
41.966,-87.73,2,2013-07-25,2013-07-25,0
41.966,-87.732,3,2013-07-25,2013-07-25,0
41.966,-87.733,2,2013-07-25,2013-07-25,0
41.966,-87.734,4,2013-07-25,2013-07-25,0
41.966,-87.735,1,2013-07-25,2013-07-25,0
41.966,-87.736,2,2013-07-25,2013-07-25,0
41.966,-87.737,2,2013-07-25,2013-07-25,0
41.966,-87.738,3,2013-07-25,2013-07-25,0
41.966,-87.739,1,2013-07-25,2013-07-25,0
41.966,-87.714,2,2013-07-25,2013-07-25,0
41.966,-87.713,2,2013-07-25,2013-07-25,0
41.966,-87.711,3,2013-07-25,2013-07-25,0
41.967,-87.786,1,2013-08-15,2013-08-15,0
41.967,-87.717,2,2013-07-25,2013-07-25,0
41.967,-87.718,2,2013-07-25,2013-07-25,0
41.967,-87.719,2,2013-07-25,2013-07-25,0
41.967,-87.721,3,2013-07-25,2013-07-25,0
41.967,-87.723,2,2013-07-25,2013-07-25,0
41.967,-87.724,2,2013-07-25,2013-07-25,0
41.967,-87.726,2,2013-07-25,2013-07-25,0
41.967,-87.727,2,2013-07-25,2013-07-25,0
41.967,-87.729,1,2013-07-25,2013-07-25,0
41.967,-87.73,2,2013-07-25,2013-07-25,0
41.967,-87.731,1,2013-07-25,2013-07-25,0
41.967,-87.732,3,2013-07-25,2013-07-25,0
41.967,-87.733,5,2013-07-25,2013-07-25,0
41.967,-87.734,5,2013-07-25,2013-07-25,0
41.967,-87.735,4,2013-07-25,2013-07-25,0
41.967,-87.736,3,2013-07-25,2013-07-25,0
41.967,-87.737,2,2013-07-25,2013-07-25,0
41.967,-87.738,2,2013-07-25,2013-07-25,0
41.967,-87.783,2,2013-08-15,2013-08-15,0
41.967,-87.784,1,2013-08-15,2013-08-15,0
41.967,-87.785,2,2013-08-15,2013-08-15,0
41.966,-87.781,2,2013-08-15,2013-08-15,0
41.966,-87.787,3,2013-08-15,2013-08-15,0
41.967,-87.715,2,2013-07-25,2013-07-25,0
41.964,-87.713,3,2013-07-25,2013-07-25,0
41.965,-87.779,1,2013-08-16,2013-08-16,0
41.965,-87.78,1,2013-08-16,2013-08-16,0
41.965,-87.781,2,2013-08-16,2013-08-16,0
41.965,-87.784,2,2013-08-15,2013-08-15,0
41.965,-87.786,2,2013-08-15,2013-08-15,0
41.965,-87.787,2,2013-08-15,2013-08-15,0
41.964,-87.709,1,2013-07-25,2013-07-25,0
41.964,-87.71,2,2013-07-25,2013-07-25,0
41.964,-87.711,2,2013-07-25,2013-07-25,0
41.964,-87.712,3,2013-07-25,2013-07-25,0
41.964,-87.714,1,2013-07-25,2013-07-25,0
41.965,-87.709,1,2013-07-25,2013-07-25,0
41.964,-87.715,1,2013-07-25,2013-07-25,0
41.964,-87.716,2,2013-07-25,2013-07-25,0
41.964,-87.717,2,2013-07-25,2013-07-25,0
41.964,-87.718,2,2013-07-25,2013-07-25,0
41.964,-87.719,2,2013-07-25,2013-07-25,0
41.964,-87.721,3,2013-07-25,2013-07-25,0
41.964,-87.723,2,2013-07-25,2013-07-25,0
41.964,-87.724,2,2013-07-25,2013-07-25,0
41.964,-87.725,1,2013-07-25,2013-07-25,0
41.964,-87.727,1,2013-07-25,2013-07-25,0
41.965,-87.739,3,2013-07-25,2013-07-25,0
41.965,-87.737,3,2013-07-25,2013-07-25,0
41.965,-87.736,1,2013-07-25,2013-07-25,0
41.965,-87.735,2,2013-07-25,2013-07-25,0
41.965,-87.71,1,2013-07-25,2013-07-25,0
41.965,-87.711,5,2013-07-25,2013-07-25,0
41.965,-87.712,2,2013-07-25,2013-07-25,0
41.965,-87.713,4,2013-07-25,2013-07-25,0
41.965,-87.716,4,2013-07-25,2013-07-25,0
41.965,-87.717,3,2013-07-25,2013-07-25,0
41.965,-87.718,2,2013-07-25,2013-07-25,0
41.965,-87.719,2,2013-07-25,2013-07-25,0
41.965,-87.72,1,2013-07-25,2013-07-25,0
41.965,-87.721,4,2013-07-25,2013-07-25,0
41.965,-87.722,1,2013-07-25,2013-07-25,0
41.965,-87.723,3,2013-07-25,2013-07-25,0
41.965,-87.724,3,2013-07-25,2013-07-25,0
41.965,-87.725,1,2013-07-25,2013-07-25,0
41.965,-87.726,3,2013-07-25,2013-07-25,0
41.965,-87.727,3,2013-07-25,2013-07-25,0
41.965,-87.729,2,2013-07-25,2013-07-25,0
41.965,-87.73,2,2013-07-25,2013-07-25,0
41.965,-87.732,5,2013-07-25,2013-07-25,0
41.965,-87.733,3,2013-07-25,2013-07-25,0
41.965,-87.734,3,2013-07-25,2013-07-25,0
41.967,-87.716,3,2013-07-25,2013-07-25,0
41.967,-87.713,2,2013-07-25,2013-07-25,0
41.957,-87.711,5,2013-07-25,2013-07-25,0
41.971,-87.789,3,2011-09-07,2011-09-07,0
41.972,-87.801,3,2011-09-07,2011-09-07,0
41.972,-87.802,4,2011-09-07,2011-09-07,0
41.972,-87.803,1,2011-09-07,2011-09-07,0
